id,date,amount,category,description
a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6d,2023-07-01,-120.50,Groceries,Monthly grocery shopping
b2c3d4e5-f6a7-8b9c-0d1e-2f3a4b5c6d7,2023-07-02,-45.30,Dining,Restaurant dinner
c3d4e5f6-a7b8-9c0d-1e2f-3a4b5c6d7e8,2023-07-03,-35.00,Transportation,Gasoline
d4e5f6a7-b8c9-0d1e-2f3a-4b5c6d7e8f9,2023-07-04,-150.00,Utilities,Electricity bill
e5f6a7b8-c9d0-1e2f-3a4b-5c6d7e8f9a0,2023-07-05,-25.00,Entertainment,Movie tickets
f6a7b8c9-d0e1-2f3a-4b5c-6d7e8f9a0b1,2023-07-06,2500.00,Salary,Monthly salary
a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2,2023-07-07,-85.40,Groceries,Supermarket
b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3,2023-07-08,-28.75,Dining,Lunch with colleagues
c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4,2023-07-09,-22.50,Transportation,Uber ride
d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5,2023-07-10,-75.00,Utilities,Internet bill
e1f2a3b4-c5d6-7e8f-9a0b-1c2d3e4f5a6,2023-07-11,-35.50,Entertainment,Concert tickets
f2a3b4c5-d6e7-8f9a-0b1c-2d3e4f5a6b7,2023-07-12,-110.25,Groceries,Weekly shopping
a3b4c5d6-e7f8-9a0b-1c2d-3e4f5a6b7c8,2023-07-13,-42.00,Dining,Takeout food
b4c5d6e7-f8a9-0b1c-2d3e-4f5a6b7c8d9,2023-07-14,-65.25,Transportation,Car maintenance
c5d6e7f8-a9b0-1c2d-3e4f-5a6b7c8d9e0,2023-07-15,-120.00,Utilities,Water bill 
